x,y,z,price,city_name,locality,per_square_feet_rate,floor_count,floor_number,apartment_type,age_of_property,main_entrance_facing,built_up_area,bedroom_count,bathroom_count,has_swimming_pool,has_gym,number_of_lifts,parking_count,has_gas_pipeline,has_servant_room,power_backup_type,is_gated_community,security_type
1771.7933139177,5752.8888330542,2086.7820986573,11500000,Mumbai,Andheri East,17968,12,3,0,3,5,640,1,2,0,0,2,0,0,0,0,1,2
1773.8289235876,5751.9908115161,2087.5281205479,16500000,Mumbai,Andheri East,17368,8,1,2,11,1,950,2,2,0,0,2,1,0,0,0,1,1
1774.6478184091,5751.9528102786,2086.9367477104,9700000,Mumbai,Andheri East,19400,4,1,0,30,4,500,1,1,0,0,0,0,0,0,0,1,2
1771.2712221375,5753.0836326333,2086.6882789613,12000000,Mumbai,Andheri East,18750,9,1,0,10,1,640,1,2,0,0,1,0,1,0,0,1,2
1773.4841363192,5752.0146168428,2087.7554612194,16000000,Mumbai,Andheri East,17777,4,2,2,25,4,900,2,3,0,0,0,1,0,0,0,1,1
1771.14618745,5752.9645787175,2087.1225979091,9500000,Mumbai,Andheri East,12666,5,1,0,7,4,750,1,2,0,0,1,0,0,0,0,1,2
1771.6758010386,5752.7974613912,2087.1337341495,9500000,Mumbai,Andheri East,20000,5,4,0,25,3,475,1,1,0,0,0,0,1,0,0,1,2
1771.2721500561,5753.0841471827,2086.6860726689,16500000,Mumbai,Andheri East,16500,12,7,2,5,0,1000,2,2,1,1,2,1,1,0,0,1,2
1772.2254100987,5752.7277253007,2086.8593182956,9000000,Mumbai,Andheri East,14062,7,2,0,15,0,640,1,1,0,0,1,0,0,0,0,1,2
1772.6908803346,5752.728094054,2086.4629205095,19000000,Mumbai,Andheri East,18095,7,1,2,5,5,1050,2,2,0,0,1,1,1,0,0,1,2
1772.1429723394,5752.7438217229,2086.8849530383,10500000,Mumbai,Andheri East,20792,4,3,0,35,1,505,1,1,0,0,0,1,1,0,0,1,1
1771.6672329342,5752.8128306101,2087.0986444621,9000000,Mumbai,Andheri East,18947,5,2,0,15,7,475,1,1,0,0,0,0,1,0,0,1,2
1773.6970164484,5752.774597588,2085.4793988885,30000000,Mumbai,Andheri East,21428,7,3,5,5,6,1400,3,2,0,0,1,0,0,0,0,1,2
1773.8485277755,5751.9791610872,2087.5435638393,17500000,Mumbai,Andheri East,18421,10,8,2,10,0,950,2,2,0,0,2,1,1,0,0,1,2
1771.7414432229,5752.918870313,2086.7433311176,13000000,Mumbai,Andheri East,13000,8,7,2,6,2,1000,2,2,0,0,1,0,1,0,0,1,2
1775.0642717754,5752.1080475331,2086.1545581696,42500000,Mumbai,Andheri East,28333,13,10,5,10,5,1500,3,3,1,1,2,1,1,0,0,1,2
1773.6613888659,5752.6223141013,2085.9297181234,17500000,Mumbai,Andheri East,17500,8,7,2,5,7,1000,2,2,0,0,1,0,0,0,0,1,2
1772.221155091,5752.7274735436,2086.8636257755,13500000,Mumbai,Andheri East,14062,8,3,2,15,4,960,2,2,0,0,1,0,0,0,0,1,2
1773.8741677086,5751.9328964462,2087.6492502135,8500000,Mumbai,Andheri East,15454,8,4,0,10,3,550,1,2,0,0,1,1,0,0,0,1,0
1772.6916810491,5752.829162641,2086.1835560198,13000000,Mumbai,Andheri East,15476,9,3,2,12,2,840,2,1,0,0,2,1,1,0,0,1,1
1771.6936998793,5752.8902049908,2086.8628903521,9500000,Mumbai,Andheri East,15833,8,7,0,6,4,600,1,2,0,0,1,0,1,0,0,1,2
1771.4758450045,5752.9566825708,2086.8645713197,16000000,Mumbai,Andheri East,12851,10,3,5,10,5,1245,3,2,0,0,2,2,0,0,2,0,2
1771.6224934587,5752.9788241953,2086.6790335439,14000000,Mumbai,Andheri East,15555,8,0,2,15,6,900,2,3,0,0,1,0,0,0,0,1,2
1772.3859407558,5752.8962379522,2086.2583618445,2500000,Mumbai,Andheri East,6944,2,1,11,5,3,360,2,1,0,0,0,0,0,0,0,1,0
1771.4165999495,5752.9617008833,2086.9010272634,25000000,Mumbai,Andheri East,16666,7,1,5,17,2,1500,3,2,0,0,1,2,1,0,0,1,1
1773.7619995845,5752.5627949869,2086.0083074049,10500000,Mumbai,Andheri East,21000,3,0,0,23,2,500,1,1,0,0,0,1,1,0,0,1,1
1771.3376747708,5753.1959248588,2086.3222407207,38500000,Mumbai,Andheri East,15098,15,1,5,3,5,2550,3,4,0,1,2,0,0,0,0,1,2
1774.0423600953,5752.1085875364,2087.0221613049,14000000,Mumbai,Andheri East,12962,7,1,2,10,3,1080,2,2,0,0,1,0,1,0,0,1,2
1771.6693260327,5752.9013698624,2086.8528045434,7000000,Mumbai,Andheri East,20000,5,3,1,12,4,350,1,1,0,0,0,0,1,0,0,1,2
1774.7139635179,5751.7816292505,2087.3522551576,6000000,Mumbai,Andheri East,20000,4,0,1,25,4,300,1,1,0,0,0,0,0,0,0,1,2
1771.2538122529,5753.0884974096,2086.6896447611,11000000,Mumbai,Andheri East,16923,8,6,0,12,7,650,1,2,1,1,1,0,0,0,0,1,2
1774.7209416602,5751.8220616105,2087.2349055159,16700000,Mumbai,Andheri East,19647,4,3,2,30,6,850,2,2,0,0,0,0,1,0,0,1,2
1773.1793919473,5752.3647975481,2087.0493716975,37500000,Mumbai,Andheri East,21428,8,6,5,1,1,1750,3,3,0,1,2,1,0,0,0,1,2
1772.3040455875,5752.8537979697,2086.4449547448,25000000,Mumbai,Andheri East,17241,13,10,5,1,5,1450,3,3,0,0,2,0,0,0,0,1,2
1771.2901534613,5752.881986271,2087.2280767299,12000000,Mumbai,Andheri East,17142,8,5,0,20,4,700,1,1,0,0,1,0,1,0,0,1,2
1773.2081253366,5752.6445466982,2086.253739022,15500000,Mumbai,Andheri East,23846,6,3,0,18,4,650,1,1,0,0,1,1,1,0,0,1,2
1774.0662543067,5752.1194004337,2086.9720478447,9000000,Mumbai,Andheri East,20000,6,5,0,30,4,450,1,1,0,0,1,1,1,0,0,1,1
1772.3882325944,5752.8951127579,2086.25951755,2500000,Mumbai,Andheri East,6944,2,1,11,5,3,360,2,1,0,0,0,0,0,0,0,1,0
1774.7576114775,5751.8030078518,2087.2562323226,19000000,Mumbai,Andheri East,26760,4,3,2,30,6,710,2,2,0,0,0,2,1,0,0,1,2
1773.3339338391,5752.7937413852,2085.7353447103,42000000,Mumbai,Andheri East,33600,8,1,5,0,5,1250,3,3,0,1,2,2,0,0,1,1,2
1771.2160493951,5752.9711980939,2087.0450642637,13900000,Mumbai,Andheri East,16352,8,2,2,8,0,850,2,2,0,0,1,0,0,0,0,1,2
1772.3855566495,5752.8967754005,2086.257206139,2500000,Mumbai,Andheri East,6944,2,1,11,5,3,360,2,1,0,0,0,0,0,0,0,1,0
1772.3872538861,5752.8951475774,2086.2602529988,2500000,Mumbai,Andheri East,6944,2,1,11,5,3,360,2,1,0,0,0,0,0,0,0,1,0
1774.3802375545,5752.5060783963,2085.6388926634,12500000,Mumbai,Andheri East,19230,4,1,2,30,3,650,2,1,0,0,0,1,0,0,0,1,1
1774.3840305218,5752.5058988742,2085.6361608983,12500000,Mumbai,Andheri East,22727,3,1,0,30,3,550,1,1,0,0,0,1,1,0,0,0,1
1770.990821037,5753.0376396652,2087.0530487743,9000000,Mumbai,Andheri East,18000,8,4,0,10,5,500,1,1,0,0,1,1,1,0,0,1,2
1771.7328775683,5752.8842752689,2086.8459756071,9500000,Mumbai,Andheri East,15833,8,7,0,6,6,600,1,2,0,0,1,0,1,0,0,1,2
1772.3867654532,5752.8960600765,2086.2581517163,2500000,Mumbai,Andheri East,6944,2,1,11,5,4,360,2,1,0,0,0,0,0,0,0,1,0
1771.2254175385,5753.0973156757,2086.6894346381,10500000,Mumbai,Andheri East,15441,12,5,0,3,2,680,1,2,1,1,2,2,1,0,0,1,2
1774.134299735,5752.3022392842,2086.4101788552,28500000,Mumbai,Andheri East,24152,10,4,2,7,1,1180,2,2,1,1,2,1,1,0,0,1,2
1774.3745970438,5752.326318353,2086.1394288373,20825000,Mumbai,Andheri East,17500,8,1,2,0,5,1190,2,2,0,0,1,1,0,0,0,1,1
1770.8532557707,5753.0310472977,2087.1879444254,15000000,Mumbai,Andheri East,17142,13,7,2,8,6,875,2,2,1,1,2,0,1,0,0,1,2
1771.6958805962,5752.8890760752,2086.8641510778,9000000,Mumbai,Andheri East,18947,5,4,0,20,6,475,1,1,0,0,0,0,1,0,0,1,2
1771.9054411502,5753.1236853735,2086.0393017431,14500000,Mumbai,Andheri East,16477,8,3,2,15,5,880,2,2,0,0,1,1,1,0,0,1,2
1773.5084768876,5752.2376160601,2087.1202866131,29000000,Mumbai,Andheri East,20000,7,6,5,3,4,1450,3,3,0,0,1,1,0,0,0,1,0
1774.2759620054,5752.3487410014,2086.1614924425,20825000,Mumbai,Andheri East,17500,8,2,2,0,5,1190,2,2,0,0,2,1,0,0,0,1,1
1772.1476328587,5752.7436056244,2086.881591107,11000000,Mumbai,Andheri East,21782,5,3,0,25,1,505,1,1,0,0,0,0,1,0,0,1,2
1771.3453667814,5753.0880882679,2086.6130547403,11000000,Mumbai,Andheri East,18965,8,4,0,10,3,580,1,1,1,1,1,0,0,0,0,1,2
1774.2699558093,5752.3510127047,2086.1603367306,20825000,Mumbai,Andheri East,20825,8,2,2,0,5,1000,2,2,0,0,2,1,0,0,0,1,1
1772.1390741179,5752.7454418078,2086.8837973745,11000000,Mumbai,Andheri East,21782,5,0,0,25,5,505,1,1,0,0,0,0,1,0,0,1,2
1773.7808605569,5752.6296690443,2085.8078409943,20000000,Mumbai,Andheri East,14814,8,1,3,3,4,1350,3,2,0,0,1,1,0,0,0,1,2
1771.656783028,5752.9541648379,2086.7179062885,9000000,Mumbai,Andheri East,13533,7,3,0,10,4,665,1,2,0,0,1,2,0,0,0,1,2
1774.4905129917,5752.3616964487,2085.9432716479,6000000,Mumbai,Andheri East,9230,8,6,0,7,6,650,1,1,0,0,1,1,0,0,0,1,2
1773.1551953956,5752.4810345819,2086.7495297273,3500000,Mumbai,Andheri East,10769,8,1,0,4,7,325,1,1,0,0,1,1,0,0,2,1,1
1771.6846924835,5753.3814368193,2085.5158577395,2500000,Mumbai,Andheri East,10000,8,4,1,9,3,250,1,1,0,0,1,0,0,0,0,1,2
1772.8114659906,5752.6691758338,2086.5229113201,4000000,Mumbai,Andheri East,14336,10,1,0,12,0,279,1,2,0,0,1,0,1,0,0,1,0
1772.3550117517,5752.7219834036,2086.7650787725,3200000,Mumbai,Andheri East,10666,8,5,1,10,5,300,1,1,0,0,1,0,0,0,0,0,0
1773.5326179878,5752.3665511034,2086.7443817296,3000000,Mumbai,Andheri East,10000,9,4,1,15,1,300,1,2,0,0,1,0,0,0,0,1,0
1773.1048874174,5752.4783238398,2086.7997488906,3600000,Mumbai,Andheri East,9350,8,2,0,5,0,385,1,1,0,0,1,0,0,0,0,1,0
1771.7933586136,5752.8907628673,2086.7767405472,15500000,Mumbai,Andheri East,13839,12,4,2,3,3,1120,2,2,0,0,2,2,0,0,0,1,2
1771.8191399306,5753.0626391915,2086.2809506187,7000000,Mumbai,Andheri East,14736,7,3,0,10,2,475,1,1,0,0,1,2,0,0,0,1,2
1771.5979530564,5753.3921503242,2085.5599865058,2500000,Mumbai,Andheri East,11111,8,4,1,3,4,225,1,1,0,0,1,0,0,0,0,0,0
1774.4880989292,5752.363850817,2085.9393842039,9300000,Mumbai,Andheri East,14307,7,1,0,0,2,650,1,2,0,0,1,1,0,0,0,1,1
1773.1621087553,5752.4692231749,2086.7762152422,3500000,Mumbai,Andheri East,9090,8,4,0,2,3,385,1,1,0,0,1,1,0,0,0,0,1
1771.8084398135,5752.8765525782,2086.8031108378,13500000,Mumbai,Andheri East,14594,11,4,2,0,1,925,2,2,0,0,2,1,1,0,0,1,2
1772.3181918923,5752.7769619953,2086.6447834319,2600000,Mumbai,Andheri East,8000,8,2,1,11,4,325,1,1,0,0,1,0,0,0,0,1,2
1771.5997272328,5753.3982691175,2085.5415995335,2500000,Mumbai,Andheri East,11111,8,4,1,3,3,225,1,1,0,0,1,0,0,0,0,0,0
1773.0239563891,5752.5735064705,2086.6061206477,2900000,Mumbai,Andheri East,8923,8,6,1,8,7,325,1,1,0,0,1,0,0,0,0,0,0
1773.0540569,5752.3868879262,2087.094967395,3000000,Mumbai,Andheri East,11111,7,1,1,8,5,270,1,1,0,0,1,1,0,0,0,1,2
1774.6438879471,5751.9247476573,2087.0174336262,18200000,Mumbai,Andheri East,14677,18,1,2,5,2,1240,2,2,0,0,2,2,0,0,0,0,0
1774.6283255383,5751.9338184911,2087.0056669535,19900000,Mumbai,Andheri East,14740,18,1,2,5,4,1350,2,2,0,0,2,2,0,0,0,0,1
1771.8148302688,5752.9069389779,2086.7139139565,16000000,Mumbai,Andheri East,14285,12,7,2,1,4,1120,2,2,0,0,2,1,1,0,0,1,2
1773.8032583529,5752.6081720669,2085.8480815547,21000000,Mumbai,Andheri East,14334,7,1,3,1,4,1465,3,2,0,0,2,1,1,0,2,1,1
1772.8148812756,5752.6620643426,2086.5396162549,3000000,Mumbai,Andheri East,11111,8,1,1,15,0,270,1,1,0,0,1,2,0,0,0,0,0
1771.3517173475,5753.1765516374,2086.3637408516,11000000,Mumbai,Andheri East,14666,8,5,4,11,4,750,2,2,1,1,2,0,1,0,0,1,2
1773.0250968804,5752.4138436408,2087.0452743824,3500000,Mumbai,Andheri East,10769,8,4,1,10,1,325,1,1,0,0,1,0,0,0,0,0,0
1773.1118439965,5752.310791387,2087.2556019741,9500000,Mumbai,Andheri East,13970,7,6,0,5,2,680,1,1,0,0,1,1,1,0,2,1,2
1772.2067930938,5753.2789831108,2085.3548918609,7500000,Mumbai,Andheri East,13636,5,3,0,8,3,550,1,1,0,0,1,1,0,0,0,1,1
1771.230632131,5753.0953291732,2086.6904852533,9500000,Mumbai,Andheri East,13970,12,6,0,3,3,680,1,2,1,1,2,1,1,0,0,1,2
1771.6175934811,5753.4048789727,2085.5081877282,2500000,Mumbai,Andheri East,11111,8,3,1,7,7,225,1,1,0,0,1,1,0,0,0,1,2
1771.6846924835,5753.3814368193,2085.5158577395,2500000,Mumbai,Andheri East,10000,8,1,1,9,4,250,1,1,0,0,1,0,0,0,0,1,2
1772.8178121958,5752.6426789655,2086.5905714602,3700000,Mumbai,Andheri East,12333,8,6,1,10,1,300,1,1,0,0,1,0,0,0,0,0,0
1774.5772762893,5752.3150426919,2085.9981160342,3500000,Mumbai,Andheri East,10000,8,6,1,7,4,350,1,1,0,0,1,1,0,0,0,1,2
1773.2664177607,5752.0565355537,2087.8249024851,7500000,Mumbai,Andheri East,14423,5,3,0,15,1,520,1,1,0,0,1,1,0,0,0,1,0
1771.2288181049,5753.1051475094,2086.6649552852,15500000,Mumbai,Andheri East,12916,12,4,2,3,1,1200,2,2,1,1,2,2,0,0,0,1,2
1772.3046498973,5752.8554026952,2086.4400167829,17000000,Mumbai,Andheri East,14345,13,3,3,1,4,1185,3,2,0,0,2,0,0,0,0,1,2
1773.9624178994,5751.9723658796,2087.46550679,14200000,Mumbai,Andheri East,14639,11,4,2,5,1,970,2,2,0,0,2,1,1,0,2,1,2
1771.7827168988,5752.8226581756,2086.9735186821,10000000,Mumbai,Andheri East,14492,5,1,0,7,7,690,1,1,0,0,0,0,1,0,0,1,2
1772.1848593254,5752.886933008,2086.4548306646,14000000,Mumbai,Andheri East,13084,12,8,2,0,6,1070,2,2,0,0,2,0,1,0,2,1,2
1772.6942115623,5752.8334501932,2086.1695824241,13000000,Mumbai,Andheri East,13000,8,4,2,5,3,1000,2,3,0,0,1,0,1,0,0,1,2
1772.3046498973,5752.8554026952,2086.4400167829,15000000,Mumbai,Andheri East,14218,13,3,2,1,3,1055,2,2,0,0,2,0,0,0,0,1,2
1771.6055231218,5753.0229565484,2086.5717653297,9200000,Mumbai,Andheri East,14153,8,2,0,15,0,650,1,2,0,0,1,0,1,0,2,1,1
1771.6218306234,5753.387578144,2085.552316514,2500000,Mumbai,Andheri East,11111,8,1,1,8,5,225,1,1,0,0,1,0,0,0,0,1,2
1772.1582093339,5752.9124796879,2086.4070269584,17000000,Mumbai,Andheri East,14782,12,1,2,4,7,1150,2,2,0,0,2,1,0,0,0,1,2
1772.3046498973,5752.8554026952,2086.4400167829,16000000,Mumbai,Andheri East,14349,13,3,2,1,5,1115,2,2,0,0,2,0,0,0,0,1,2
1773.0320036984,5752.4105712919,2087.0484261634,3500000,Mumbai,Andheri East,10769,8,4,1,10,1,325,1,1,0,0,1,0,0,0,0,0,0
1774.491339331,5752.3643751909,2085.9351815609,12500000,Mumbai,Andheri East,15625,7,1,2,0,6,800,2,2,0,0,1,1,0,0,0,1,1
1770.956140882,5753.1095981074,2086.8841125555,7700000,Mumbai,Andheri East,14000,6,4,2,7,3,550,2,1,0,0,1,0,1,0,0,1,1
1771.7459447313,5752.909214353,2086.7661293831,12500000,Mumbai,Andheri East,11904,8,7,2,7,7,1050,2,2,0,0,1,2,1,0,0,1,2
1771.3486687,5753.1998551237,2086.3020684694,19000000,Mumbai,Andheri East,16521,15,1,2,5,5,1150,2,2,0,1,2,2,0,0,0,1,2
1773.9690001379,5751.9345342101,2087.5641548732,8500000,Mumbai,Andheri East,15740,4,2,2,30,3,540,2,2,0,0,0,1,1,0,0,1,1
1771.1058716881,5752.9164624537,2087.2894306495,18000000,Mumbai,Andheri East,14229,8,6,5,20,6,1265,3,3,0,0,1,1,0,0,0,1,2
1771.5432458955,5752.9792199753,2086.7452222191,17500000,Mumbai,Andheri East,14000,8,6,5,8,0,1250,3,3,0,0,1,1,1,0,0,1,1
1773.9114222578,5752.0173355339,2087.3849280142,21000000,Mumbai,Andheri East,14000,10,1,5,0,6,1500,3,3,0,0,2,2,0,0,0,1,2
1771.8880939785,5752.7846761366,2086.9887523475,37500000,Mumbai,Andheri East,19230,7,5,6,7,5,1950,4,4,0,0,2,0,1,0,0,1,2
1774.9002870072,5752.2857163102,2085.8041636538,22500000,Mumbai,Andheri East,20454,3,3,5,5,4,1100,3,2,0,0,0,2,0,0,0,1,1
1771.578821959,5753.0808282421,2086.4348686934,15000000,Mumbai,Andheri East,16666,16,1,2,2,5,900,2,3,0,0,2,0,1,0,2,1,2
1771.4792913748,5752.9693028271,2086.8268545711,20000000,Mumbai,Andheri East,15384,8,5,5,10,0,1300,3,2,0,0,1,2,1,0,0,1,2
1772.9506536728,5752.6720453649,2086.3967307583,19500000,Mumbai,Andheri East,14942,11,8,3,1,5,1305,3,2,0,0,1,1,0,0,0,1,1
1771.3303045013,5753.0966506852,2086.6022333521,18000000,Mumbai,Andheri East,15000,11,6,2,5,4,1200,2,3,1,1,2,2,1,0,1,1,2
1774.7608445228,5751.8658656775,2087.0802591186,12500000,Mumbai,Andheri East,21008,8,7,0,10,4,595,1,2,0,0,1,2,1,0,0,1,2
1771.7721615808,5752.8904695587,2086.7955464557,14000000,Mumbai,Andheri East,15135,11,1,2,0,4,925,2,2,0,0,2,2,0,0,0,1,2
1775.0705966428,5751.9357871619,2086.6240862456,10000000,Mumbai,Andheri East,25000,5,2,0,25,6,400,1,1,0,0,0,0,1,0,0,1,2
1771.374122749,5753.0700890133,2086.6382695993,8500000,Mumbai,Andheri East,15454,7,0,0,15,5,550,1,0,1,1,1,1,0,0,0,0,1
1773.5313469214,5751.9762663697,2087.8210154624,15500000,Mumbai,Andheri East,20529,3,1,2,17,6,755,2,3,0,0,0,0,1,0,0,0,1
1774.6859171976,5751.9159352206,2087.0059821323,18900000,Mumbai,Andheri East,15120,18,1,2,5,1,1250,2,2,0,0,2,2,0,0,0,0,0
1771.8021199608,5752.9052897426,2086.729252911,11000000,Mumbai,Andheri East,15277,12,9,0,3,1,720,1,2,0,0,2,2,1,0,0,1,2
1773.991956353,5752.714505507,2085.3942929155,27000000,Mumbai,Andheri East,16666,8,5,5,16,1,1620,3,4,0,0,1,1,1,0,0,1,1
1773.3585333097,5752.9027909587,2085.4136256669,18000000,Mumbai,Andheri East,16363,7,0,2,10,4,1100,2,3,0,0,1,2,1,0,0,1,2
1773.6057690313,5752.700454072,2085.7615064476,24000000,Mumbai,Andheri East,20869,7,4,14,20,4,1150,3,2,0,0,1,2,0,0,0,1,1
1772.5637158493,5752.9362169672,2085.9970653771,17500000,Mumbai,Andheri East,18421,7,3,2,10,0,950,2,2,0,0,1,1,1,0,0,1,2
1773.139398506,5752.128064907,2087.735710854,10500000,Mumbai,Andheri East,15789,7,7,0,4,1,665,1,2,0,0,1,2,1,0,0,1,2
1773.1422278261,5752.3697734012,2087.0672317776,32000000,Mumbai,Andheri East,21404,9,6,5,0,1,1495,3,3,0,1,2,2,0,0,0,1,2
1772.3190692589,5752.7662500387,2086.6735703403,17600000,Mumbai,Andheri East,17170,8,5,5,11,0,1025,3,3,0,1,1,1,1,0,0,1,2
1773.6541824347,5752.0084746572,2087.6279238896,25000000,Mumbai,Andheri East,17857,6,3,5,20,5,1400,3,3,0,0,1,2,0,0,0,1,1
1773.551362186,5752.081470863,2087.5141480342,8000000,Mumbai,Andheri East,14545,3,2,0,20,0,550,1,1,0,0,0,2,0,0,0,1,0
1774.102158918,5751.8640288235,2087.6452580957,17500000,Mumbai,Andheri East,18918,7,2,2,7,0,925,2,2,0,0,2,1,1,0,0,1,2
1771.1741461137,5752.9607735085,2087.109360482,13500000,Mumbai,Andheri East,15697,7,7,2,6,4,860,2,2,0,0,1,1,0,0,2,1,2
1772.6401923485,5752.9867472217,2085.79271136,23000000,Mumbai,Andheri East,18400,3,2,2,45,4,1250,2,3,0,0,0,1,1,0,0,1,2
1774.671154797,5751.9158393775,2087.0187994001,23500000,Mumbai,Andheri East,16206,18,1,5,5,2,1450,3,3,0,0,2,2,0,0,0,0,0
1774.5204865117,5751.9167697137,2087.144345089,14000000,Mumbai,Andheri East,20588,8,4,0,10,5,680,1,2,0,0,2,1,1,0,0,1,0
1773.5883476622,5751.9290232692,2087.9027478096,14000000,Mumbai,Andheri East,19310,6,4,2,15,5,725,2,2,0,0,1,0,1,0,0,1,1
1773.8716045991,5751.9252983183,2087.672362456,12000000,Mumbai,Andheri East,13333,5,2,2,20,5,900,2,2,0,0,0,0,0,0,0,1,0
1773.6142467306,5752.6969260557,2085.7640280588,9400000,Mumbai,Andheri East,15537,11,2,0,0,6,605,1,1,0,0,1,0,1,0,1,1,1
1773.5182030027,5752.8789736701,2085.3435443407,9700000,Mumbai,Andheri East,21318,6,3,0,20,5,455,1,1,0,0,1,0,1,0,0,1,2
1775.0941328176,5751.7733485928,2087.0517880624,27500000,Mumbai,Andheri East,19642,8,4,5,0,1,1400,3,2,0,0,1,2,0,0,0,1,2
1774.7520835316,5752.0142150284,2086.6788234207,30000000,Mumbai,Andheri East,20000,6,2,5,25,5,1500,3,1,0,0,1,1,1,0,0,0,1
1773.8991101862,5751.9567368646,2087.5623689172,35000000,Mumbai,Andheri East,35000,6,5,6,20,7,1000,4,6,0,0,1,2,1,0,0,1,1
1771.4321526474,5753.0218501168,2086.7220036808,9000000,Mumbai,Andheri East,16666,7,5,0,13,6,540,1,1,0,0,1,2,1,0,0,1,2
1774.7478792067,5751.7736045051,2087.3455314753,12000000,Mumbai,Andheri East,20000,8,2,4,10,5,600,2,2,0,0,1,0,0,0,0,1,0
1773.9130936464,5752.0363016507,2087.3312436417,12000000,Mumbai,Andheri East,18461,11,8,0,1,2,650,1,2,0,0,2,1,0,0,0,1,2
1773.660871795,5751.99451566,2087.6607012829,8500000,Mumbai,Andheri East,13076,4,2,0,24,4,650,1,1,0,0,0,1,0,0,0,0,0
1771.1789002822,5752.9601483446,2087.1070491841,10000000,Mumbai,Andheri East,12121,8,2,2,10,0,825,2,2,0,0,1,0,0,0,0,1,2
1774.5117371191,5752.3756083261,2085.8868510927,6000000,Mumbai,Andheri East,15000,8,6,0,8,6,400,1,2,0,0,1,0,0,0,0,1,1
1773.4256661541,5752.8972932776,2085.3717029885,11000000,Mumbai,Andheri East,22000,8,0,0,15,3,500,1,1,0,0,1,0,0,0,0,1,1
1773.4754336727,5752.0256125494,2087.7325591979,9000000,Mumbai,Andheri East,17142,4,3,0,30,4,525,1,1,0,0,0,2,1,0,0,1,1
